time,open,high,low,close
1770193800,159529,159695,159302,159533
1770195600,159586,159586,158423,158760
1770197400,158675,159185,158334,158912
1770199200,158912,159100,158630,158780
1770201000,158682,159133,158681,158975
1770202800,158975,159193,158285,158512
1770204600,158440,158986,158440,158919
1770206400,158919,159178,158600,159050
1770208200,159047,159367,158801,158830
1770210000,158751,159177,158600,159113
1770211800,159127,159545,158800,159350
1770213600,159350,159498,158770,158870
1770215400,158750,158863,156012,156801
1770217200,156775,157566,155000,155277
1770219000,155496,155496,152536,153467
1770220800,153467,154367,152251,153764
1770222600,153767,153900,151493,152760
1770224400,153003,154000,152589,153650
1770226200,153697,154000,153001,153500
1770228000,153499,153499,152602,153390
1770262200,149390,151948,148455,151368
1770264000,151469,152370,150800,152168
1770265800,152047,152350,150821,150821
1770267600,150808,151578,150250,151400
1770269400,151102,152500,150002,152298
1770271200,151977,154198,151470,154197
1770273000,154130,154200,152502,152996
1770274800,152999,153529,152650,153325
1770276600,153199,153199,152538,152915
1770278400,152922,153711,152738,153281
1770280200,153375,153652,152800,153209
1770282000,153064,153064,152010,152382
1770283800,152382,153200,151692,151965
1770285600,152005,152499,151815,151815
1770287400,151834,152429,151512,152175
1770289200,152258,152841,152249,152841
1770291000,152849,152849,152200,152250
1770292800,152250,152508,150569,151755
1770294600,151839,152296,151522,151818
1770296400,151648,151704,150555,151408
1770298200,151401,151831,151012,151280
1770300000,151320,151320,149800,150700
1770301800,150498,151865,149884,151188
1770303600,151525,151557,150349,150767
1770305400,150572,150711,149502,150000
1770307200,149935,151118,149935,150870
1770309000,150853,152943,150801,152766
1770310800,152500,152626,151623,151934
1770312600,151986,152684,151850,152299
1770314400,152325,152520,151636,151900
1770348600,149900,150899,149396,150728
1770350400,150800,151090,150300,150683
1770352200,150786,150998,150221,150386
1770354000,150325,151685,150272,151685
1770355800,151555,153945,151066,153883
1770357600,153950,154083,151858,152001
1770359400,152001,152624,151678,151990
1770361200,152010,152826,151765,152826
1770363000,152661,153201,152468,152468
1770364800,152469,153172,151915,152826
1770366600,153010,153351,152557,152585
1770368400,152750,152856,152228,152580
1770370200,152550,152906,152550,152843
