time,open,high,low,close
1778172600,152517,152570,152470,152570
1778172900,152603,152603,152490,152510
1778173200,152512,152550,152500,152550
1778173500,152550,152640,152550,152601
1778173800,152584,152584,152481,152481
1778174100,152452,152511,152341,152341
1778174400,152360,152510,152302,152478
1778174700,152477,152558,151864,152108
1778175000,152108,152249,152041,152111
1778175300,152179,152323,152150,152323
1778175600,152320,152340,152242,152242
1778175900,152208,152293,152194,152250
1778176200,152293,152305,152239,152252
1778176500,152319,152466,152316,152401
1778211000,152672,153084,152672,153084
1778211300,153035,153103,152814,152830
1778211600,152828,152870,152751,152812
1778211900,152820,152901,152721,152746
1778212200,152721,152796,152681,152681
1778212500,152709,152750,152701,152740
1778212800,152762,152934,152762,152851
1778213100,152794,152864,152730,152864
1778213400,152872,152872,152700,152738
1778213700,152750,152770,152700,152711
1778214000,152742,152758,152735,152758
1778214300,152780,152780,152699,152730
1778214600,152750,152750,152641,152650
1778214900,152640,152680,152581,152583
1778215200,152615,152615,152454,152560
1778215500,152525,152609,152525,152594
1778215800,152650,152665,152566,152583
1778216100,152607,152621,152500,152500
1778216400,152511,152591,152511,152583
1778216700,152583,152662,152536,152662
1778217000,152603,152615,152589,152615
1778217300,152615,152700,152580,152700
1778217600,152710,152730,152700,152730
1778217900,152690,152775,152689,152775
1778218200,152751,152982,152751,152930
1778218500,152889,152931,152851,152890
1778218800,152950,152978,152911,152978
1778219100,152978,153039,152935,153039
1778219400,153050,153089,152994,152997
1778219700,153017,153080,152970,152970
1778220000,152952,153037,152626,153026
1778220300,152966,152985,152856,152940
1778220600,152940,152981,152859,152899
1778220900,152899,152999,152865,152959
1778221200,152991,152991,152901,152951
1778221500,152972,153087,152972,153050
1778221800,153047,153087,152925,152970
1778222100,152927,152990,152906,152945
1778222400,152950,153075,152950,152978
1778222700,152900,152900,152800,152801
1778223000,152866,152915,152856,152915
1778223300,152900,152900,152842,152850
1778223600,152820,152842,152758,152800
1778223900,152843,152843,152784,152842
1778224200,152784,152784,152651,152655
1778224500,152677,152719,152626,152670
1778224800,152667,152680,152483,152521
1778225100,152521,152605,152320,152605
1778225400,152544,152658,152467,152626
1778225700,152600,152630,152600,152630
1778226000,152600,152601,152571,152590
1778226300,152588,152709,152588,152690
1778226600,152720,152739,152702,152702
1778226900,152667,152699,152667,152698
1778227200,152695,152749,152673,152735
1778227500,152738,152740,152676,152740
1778227800,152742,152838,152710,152838
1778228100,152815,152900,152800,152858
1778228400,152877,153023,152877,152945
1778228700,152945,152989,152784,152806
1778229000,152842,152842,152816,152816
1778229300,152850,152917,152819,152860
1778229600,152836,152836,152800,152805
1778229900,152801,152817,152775,152807
1778230200,152831,152831,152685,152685
1778230500,152660,152705,152623,152683
1778230800,152610,152736,152610,152736
1778231100,152740,152793,152687,152706
1778231400,152669,152678,152626,152634
1778231700,152650,152756,152650,152756
1778232000,152729,152784,152668,152765
1778232300,152765,152790,152675,152675
1778232600,152699,152700,152555,152600
1778232900,152650,152654,152555,152555
1778233200,152615,152695,152566,152632
1778233500,152616,152616,152550,152570
1778233800,152599,152610,152560,152566
1778234100,152594,152654,152580,152645
1778234400,152661,152702,152660,152695
1778234700,152675,152675,152646,152674
1778235000,152683,152697,152674,152697
1778235300,152755,152755,152701,152705
1778235600,152751,152799,152721,152765
1778235900,152765,152840,152765,152823
1778236200,152816,152841,152757,152841
1778236500,152841,152951,152841,152937
1778236800,152940,152950,152900,152936
1778237100,152889,152928,152831,152831
1778237400,152763,152855,152763,152843
1778237700,152800,152800,152670,152770
1778238000,152816,152913,152790,152913
1778238300,152920,152950,152867,152867
1778238600,152830,152830,152741,152801
1778238900,152851,152875,152851,152875
1778239200,152820,152820,152801,152801
1778239500,152858,152898,152850,152850
1778239800,152850,152897,152850,152850
1778240100,152827,152860,152825,152850
1778240400,152822,152824,152751,152751
1778240700,152731,152739,152712,152725
1778241000,152734,152734,152666,152682
1778241300,152750,152750,152690,152720
1778241600,152762,152793,152626,152626
1778241900,152614,152643,152555,152573
1778242200,152587,152587,152420,152438
1778242500,152411,152590,152400,152584
1778242800,152569,152572,152482,152504
1778243100,152500,152600,152494,152541
1778243400,152454,152820,152429,152820
1778243700,152836,152890,152750,152890
1778244000,152890,152933,152766,152899
